epoch,grad_norm,learning_rate,logits/chosen,logits/rejected,logps/chosen,logps/rejected,loss,rewards/accuracies,rewards/chosen,rewards/margins,rewards/rejected
0.04,10.36156177520752,4.999160884067051e-05,-1.7093175649642944,-1.665448546409607,-341.34844970703125,-303.6297912597656,0.6732,0.546875,0.005744383204728365,0.04671294614672661,-0.04096856340765953
0.08,10.47631549835205,4.96985092978261e-05,-1.9924299716949463,-2.0731148719787598,-336.2142028808594,-309.8403625488281,0.6182,0.690625011920929,-0.19014452397823334,0.2566406726837158,-0.44678521156311035
0.12,8.918853759765625,4.899146773943374e-05,-2.2013931274414062,-2.264050245285034,-386.57513427734375,-343.11151123046875,0.5667,0.684374988079071,-0.41345763206481934,0.4798804223537445,-0.8933380842208862
0.16,13.403687477111816,4.7882334038869495e-05,-2.1719486713409424,-2.222977876663208,-335.85992431640625,-326.3091735839844,0.5849,0.699999988079071,-0.4870850443840027,0.5660608410835266,-1.0531460046768188
0.2,11.999529838562012,4.6389697052407534e-05,-2.2909908294677734,-2.3033714294433594,-364.7646484375,-337.6241760253906,0.5713,0.731249988079071,-0.28508633375167847,0.5547937154769897,-0.839880108833313
0.24,15.072661399841309,4.4538573073752365e-05,-2.147670269012451,-2.128093957901001,-368.716796875,-344.44976806640625,0.5875,0.668749988079071,-0.0011162370210513473,0.5440686345100403,-0.545184850692749
0.28,12.034728050231934,4.2359986566020906e-05,-2.120910406112671,-2.0968079566955566,-374.7469177246094,-344.6759948730469,0.5604,0.699999988079071,-0.12474603950977325,0.6034969091415405,-0.7282428741455078
0.32,10.061240196228027,3.9890450198021704e-05,-2.170546293258667,-2.1047470569610596,-333.39971923828125,-317.14752197265625,0.5532,0.7093750238418579,-0.15859457850456238,0.6835311055183411,-0.8421255350112915
0.36,14.020161628723145,3.717135289931774e-05,-2.3400580883026123,-2.299114465713501,-382.6672058105469,-358.9044494628906,0.5699,0.721875011920929,-0.2282252013683319,0.5898334383964539,-0.8180586099624634
0.4,10.439050674438477,3.42482661901463e-05,-2.137442111968994,-2.1369481086730957,-365.2325439453125,-334.315673828125,0.5527,0.699999988079071,-0.43351155519485474,0.7103129625320435,-1.143824577331543
0.44,9.20755672454834,3.117018041196585e-05,-2.1758546829223633,-2.1763291358947754,-332.36114501953125,-331.716796875,0.5697,0.6875,-0.35916242003440857,0.6661890745162964,-1.0253514051437378
0.48,11.515380859375,2.7988683659251474e-05,-2.0835797786712646,-2.1768734455108643,-365.8078918457031,-327.78631591796875,0.5366,0.731249988079071,-0.16787710785865784,0.7556635141372681,-0.9235407114028931
0.52,11.440970420837402,2.4757097173475572e-05,-2.1661510467529297,-2.079537868499756,-350.09771728515625,-347.5538330078125,0.545,0.7406250238418579,-0.24487507343292236,0.8078460693359375,-1.0527210235595703
0.56,12.902682304382324,2.152958168989584e-05,-2.146012306213379,-2.2187540531158447,-379.86566162109375,-354.1205139160156,0.5044,0.737500011920929,-0.37951141595840454,0.9232681393623352,-1.3027795553207397
0.6,12.273759841918945,1.836022971459737e-05,-2.1630656719207764,-2.1465258598327637,-377.99554443359375,-352.7916564941406,0.5408,0.7250000238418579,-0.39838355779647827,0.8595461845397949,-1.257929801940918
0.64,9.345826148986816,1.5302158945041838e-05,-2.09881329536438,-2.14302659034729,-330.0663757324219,-319.8069763183594,0.5421,0.75,-0.3026192784309387,0.7764688730239868,-1.0790880918502808
0.68,10.643616676330566,1.2406622028211844e-05,-2.0775179862976074,-2.1133875846862793,-352.1598815917969,-331.52392578125,0.5459,0.699999988079071,-0.24606916308403015,0.8122578859329224,-1.0583269596099854
0.72,14.390889167785645,9.722147576623743e-06,-2.043309450149536,-2.168832778930664,-380.1261291503906,-340.23736572265625,0.5649,0.731249988079071,-0.38033977150917053,0.7394707798957825,-1.1198105812072754
0.76,19.023330688476562,7.293726838606674e-06,-2.0670852661132812,-2.167095184326172,-361.2904968261719,-350.412109375,0.571,0.715624988079071,-0.4559028148651123,0.7483437657356262,-1.2042465209960938
0.8,9.666561126708984,5.162059654089083e-06,-2.0895895957946777,-2.121690034866333,-341.3653259277344,-327.84832763671875,0.53,0.737500011920929,-0.23457829654216766,0.753920316696167,-0.9884985685348511
0.84,13.379528999328613,3.3628723335213885e-06,-2.0626213550567627,-2.056692361831665,-344.68304443359375,-310.01263427734375,0.499,0.75,-0.09947620332241058,0.8484729528427124,-0.947949230670929
0.88,11.369174003601074,1.926318892145712e-06,-2.024294137954712,-2.1109299659729004,-381.5299377441406,-327.96337890625,0.5333,0.778124988079071,-0.0704081654548645,0.8075277209281921,-0.8779358863830566
0.92,14.06531047821045,8.764756748051662e-07,-2.0808932781219482,-2.101408004760742,-358.927734375,-309.3072204589844,0.5611,0.6875,-0.12855397164821625,0.7464070916175842,-0.8749610781669617
0.96,11.480454444885254,2.3093784127863062e-07,-2.1030819416046143,-2.2386629581451416,-358.21405029296875,-305.1014404296875,0.5675,0.731249988079071,-0.1780242919921875,0.685179591178894,-0.8632038235664368
1.0,9.829010963439941,5.244749650301639e-10,-2.184757709503174,-2.1637728214263916,-348.3598327636719,-313.3182373046875,0.4946,0.762499988079071,-0.10362096130847931,0.8699254989624023,-0.9735463857650757
